id;name;type;breeder;effects;ailment;flavor;location;thc;cbd;price
1;Alaskan Thunder Fuck;Sativa;Northern View Collective;Happy, Euphoric, Uplifted, Energetic, Relaxed, Dry Mouth, Paranoid, Anxious;Stress, Depression, Lack of Appetite, Pain;Earthy, Pine;Mt. Shasta, CA;1500;0;14
2;Berry White;Hybrid;Unknown Breeder;Relaxed, Happy, Euphoric, Uplifted, Sleepy, Dry Mouth, Paranoid, Anxious;Stress, Pain, Depression, Insomnia;Berry, Sweet, Blueberry;Sherman Oaks, CA;1600;0;16
3;Blueberry;Hybrid;DJ Short;Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Paranoid, Anxious;Stress, Pain, Depression, Insomnia, Lack of Appetite;Blueberry, Sweet, Berry;Lakeside, CA;1600;0;16
4;Bubba Kush;Hybrid;Unknown Breeder;Relaxed, Happy, Sleepy, Euphoric, Hungry, Dry Mouth, Anxious, Paranoid;Pain, Stress, Insomnia, Depression, Lack of Appetite;Earthy, Sweet;Los Angeles, CA;1800;0;14
5;Bubba OG;Hybrid;Dr. Greenthumb Seeds;Relaxed, Happy, Sleepy, Uplifted, Euphoric, Dry Mouth, Paranoid;Stress, Pain, Depression, Insomnia, Nausea;Earthy, Sweet;Los Angeles, CA;1600;0;15
6;Chocolope;Sativa;WOSC;Happy, Energetic, Uplifted, Euphoric, Creative, Dry Mouth, Anxious, Paranoid;Stress, Depression, Pain, Lack of Appetite;Earthy, Coffee, Sweet;Cypress, CA;1900;0;11
7;Diablo;Hybrid;Next Generation Seeds;Relaxed, Happy, Euphoric, Uplifted, Sleepy, Dry Mouth, Anxious, Paranoid;Stress, Pain, Insomnia, Depression, Inflammation;Earthy;Los Angeles, CA;1700;0;11
8;Goo;Hybrid;Unknown Breeder;Sleepy, Relaxed, Hungry, Euphoric, Happy, Dry Mouth, Paranoid;Pain, Stress, Insomnia, Lack of Appetite, Muscle Spasms;Berry, Sweet, Blueberry;Morongo Basin, CA;1300;0;10
9;Grape Ape;Hybrid;Apothecary Seed Company;Relaxed, Sleepy, Happy, Euphoric, Uplifted, Dry Mouth, Anxious;Stress, Pain, Insomnia, Depression;Grape, Sweet, Berry;Richmond, CA;1600;0;12
10;Green Crack;Hybrid;Unknown Breeder;Energetic, Happy, Uplifted, Focused, Euphoric, Dry Mouth, Anxious, Paranoid;Stress, Depression, Pain;Citrus, Sweet, Earthy;Los Angeles, CA;1700;0;13
11;Harlequin;Hybrid;Unknown Breeder;Relaxed, Focused, Uplifted, Happy, Energetic, Dry Mouth, Anxious;Stress, Pain, Depression, Inflammation;Earthy, Sweet;San Juan Capistrano, CA;600;1000;16
12;Jack Herer;Hybrid;Sensi Seeds;Happy, Energetic, Uplifted, Creative, Euphoric, Dry Mouth, Paranoid, Anxious;Stress, Depression, Pain, Lack of Appetite;Earthy, Pine;Beckwourth, CA;1600;0;15
13;Jack the Ripper;Hybrid;TGA Seeds;Happy, Energetic, Uplifted, Euphoric, Talkative, Dry Mouth, Paranoid, Anxious;Stress, Depression, Pain;Lemon, Citrus, Earthy;Lake Forest, CA;1100;0;12
14;Jupiter OG;Hybrid;Clone Queen;Relaxed, Sleepy, Euphoric, Happy, Hungry, Dry Mouth, Paranoid;Insomnia, Pain, Stress, Depression, Nausea;Pine, Citrus;Pasadena, CA;1700;0;14
15;Kali Mist;Hybrid;Serious Seeds;Energetic, Creative, Happy, Focused, Uplifted, Dry Mouth, Anxious, Paranoid;Stress, Pain, Depression, Lack of Appetite, Muscle Spasms;Earthy, Sweet, Citrus;San Juan Capistrano, CA;1000;0;13
16;Kryptonite;Hybrid;Unknown Breeder;Relaxed, Happy, Tingly, Uplifted, Euphoric, Dry Mouth, Paranoid, Anxious;Pain, Stress, Insomnia, Depression;Sweet, Earthy, Pine;Chatsworth, CA;1600;0;13
17;LA Confidential;Hybrid;DNA Genetics;Relaxed, Happy, Sleepy, Euphoric, Uplifted, Dry Mouth, Paranoid, Anxious;Stress, Pain, Insomnia, Depression;Earthy, Pine, Sweet;San Juan Capistrano, CA;1300;0;13
18;Lemon Haze;Hybrid;Flash Seeds;Happy, Uplifted, Euphoric, Energetic, Relaxed, Dry Mouth, Anxious, Paranoid;Stress, Depression, Pain, Lack of Appetite;Lemon, Citrus, Sweet;Richmond, CA;1800;0;11
19;Moby Dick;Hybrid;Dinafem Seeds;Happy, Euphoric, Uplifted, Relaxed, Energetic, Dry Mouth, Paranoid, Anxious;Stress, Depression, Pain;Citrus, Earthy, Sweet;Venice, CA;1100;0;15
20;Neptune OG;Hybrid;Unknown Breeder;Relaxed, Sleepy, Hungry, Focused, Happy, Dry Mouth, Paranoid, Anxious;Insomnia, Pain, Stress, Muscle Spasms, Nausea;Earthy;Southern California, CA;1100;0;10
21;Papaya;Hybrid;Nirvana;Relaxed, Sleepy, Happy, Uplifted, Hungry, Dry Mouth, Paranoid, Anxious;Stress, Pain, Insomnia, Inflammation;Sweet;Richmond, CA;1500;0;11
22;Pineapple Thai;Hybrid;Unknown Breeder;Happy, Relaxed, Euphoric, Focused, Uplifted, Dry Mouth, Paranoid;Pain, Muscle Spasms, Stress, Depression;Pineapple, Sweet;Richmond, CA;1300;0;16
23;Platinum Bubba Kush;Indica;Holistic Healing Collective;Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Paranoid;Pain, Stress, Insomnia, Depression, Inflammation;Earthy;Richmond, CA;1700;0;14
24;Platinum OG;Indica;The Bionosphere;Relaxed, Sleepy, Euphoric, Happy, Hungry, Dry Mouth, Paranoid, Anxious;Stress, Insomnia, Pain, Depression, Lack of Appetite;Earthy, Sweet;Morongo Basin, CA;1600;0;12
25;Pure OG;Indica;Jade Lotus Collective;Relaxed, Sleepy, Happy, Euphoric, Uplifted, Dry Mouth, Paranoid;Stress, Pain, Insomnia, Nausea, Inflammation;Earthy, Pine;Garden Grove, CA;1500;0;10
26;Purple Dragon;Indica;Purple Dragon Farms;Relaxed, Euphoric, Uplifted, Happy, Dry Mouth, Paranoid, Anxious;Stress, Insomnia, Depression, Pain;Grape, Earthy, Sweet;Willow Creek, CA;1200;0;14
27;Purple Urkle;Hybrid;Unknown Breeder;Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Anxious;Pain, Insomnia, Stress, Depression, Inflammation;Sweet, Grape, Berry;Richmond, CA;1700;0;13
28;Raspberry Kush;Hybrid;Unknown Breeder;Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Paranoid, Anxious;Stress, Insomnia, Pain, Lack of Appetite, Muscle Spasms;Berry, Sweet;Lake Forest, CA;1300;0;14
29;Silver Haze;Hybrid;Seed Bank;Euphoric, Happy, Energetic, Uplifted, Relaxed, Dry Mouth, Paranoid, Anxious;Stress, Depression, Lack of Appetite, Pain, Insomnia;Earthy, Sweet;Toluca Lake, CA;1900;0;14
30;Strawberry Cough;Hybrid;Unknown Breeder;Happy, Euphoric, Uplifted, Energetic, Relaxed, Dry Mouth, Anxious, Paranoid;Stress, Depression, Pain, Lack of Appetite;Strawberry, Sweet, Berry;Lake Forest, CA;1700;0;11
31;Super Lemon Haze;Hybrid;Green House Seed Co.;Happy, Uplifted, Euphoric, Energetic, Creative, Dry Mouth, Paranoid, Anxious;Stress, Depression, Pain;Lemon, Citrus, Sweet;6150 White Oak Lane, CA;1300;0;13
32;Superman OG;Hybrid;Unknown Breeder;Relaxed, Sleepy, Happy, Euphoric, Dry Mouth, Anxious, Paranoid;Stress, Pain, Insomnia, Depression;Earthy, Pine;Rosamund, CA;1800;0;14
33;True OG;Indica;Caveman;Relaxed, Euphoric, Sleepy, Happy, Focused, Dry Mouth, Anxious;Stress, Insomnia, Pain, Depression;Earthy, Pine;Corona, CA;2100;0;11
34;Diablo;Hybrid;Next Generation Seeds;Relaxed, Happy, Euphoric, Uplifted, Sleepy, Dry Mouth, Anxious, Paranoid;Stress, Pain, Insomnia, Depression, Inflammation;Earthy;Los Angeles, CA;1700;0;13
35;Papaya;Hybrid;Nirvana;Relaxed, Sleepy, Happy, Uplifted, Hungry, Dry Mouth, Paranoid, Anxious;Stress, Pain, Insomnia, Inflammation;Sweet;Richmond, CA;1500;0;10
36;Incredible Bulk;Indica;TreeStar Organics;Relaxed, Happy, Tingly, Sleepy, Dry Mouth, Paranoid, Anxious;Stress, Muscle Spasms, Insomnia, Pain, Lack of Appetite;Earthy, Citrus;6150 White Oak Lane, CA;1200;0;15
37;Phantom OG;Indica;N.E.;Euphoric, Relaxed, Hungry, Happy, Focused, Dry Mouth, Paranoid, Anxious;Depression, Pain, Insomnia, Lack of Appetite;Earthy, Lemon;Downey, CA;2100;0;11
38;Mickey Kush;Sativa;Herbal Legends;Happy, Uplifted, Energetic, Euphoric, Talkative, Dry Mouth, Paranoid, Anxious;Depression, Stress, Pain, Lack of Appetite;Earthy, Sweet, Pine;Thousand Oaks, CA;1500;0;13
39;Night Nurse;Hybrid;Reeferman Seeds;Relaxed, Sleepy, Happy, Tingly, Hungry, Dry Mouth;Pain, Insomnia, Stress, Muscle Spasms;Sweet, Earthy;Beckwourth, CA;1400;0;15
40;Skywalker;Hybrid;Dutch Passion Seed Company;Relaxed, Happy, Sleepy, Euphoric, Hungry, Dry Mouth, Paranoid, Anxious;Stress, Pain, Depression, Insomnia;Earthy, Sweet;Lake Forest, CA;1700;0;14
41;Diamond OG;Hybrid;Unknown Breeder;Relaxed, Sleepy, Happy, Euphoric, Uplifted, Dry Mouth, Paranoid, Anxious;Stress, Pain, Insomnia, Depression, Lack of Appetite;Earthy, Pine;North Hollywood, CA;1600;0;11
42;Chronic Thunder;Indica;5 Star Cannabis;Relaxed, Happy, Sleepy, Euphoric, Hungry, Dry Mouth, Paranoid, Anxious;Insomnia, Pain, Muscle Spasms, Stress, Lack of Appetite;Earthy;Valley Center, CA;1500;0;12
43;Do-Si-Dos;Indica;The Rising Sun Farm;Relaxed, Euphoric, Happy, Sleepy, Uplifted, Dry Mouth, Paranoid, Anxious;Stress, Pain, Depression, Insomnia, Lack of Appetite;Earthy, Sweet;Mountain Ranch, CA;1800;0;16
44;Firewalker OG;Sativa;OMG PMO Collective;Relaxed, Uplifted, Energetic, Euphoric, Happy, Dry Mouth, Anxious;Stress, Pain, Depression, Insomnia, Lack of Appetite;Pine, Earthy;Sherman Oaks, CA;1400;0;14
45;9 Pound Hammer;Hybrid;TGA Seeds;Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Anxious;Stress, Pain, Insomnia, Depression, Muscle Spasms;Earthy, Sweet, Berry;Glendora, CA;1500;0;14
46;Chocolate Fondue;Hybrid;DNA Genetics;Relaxed, Uplifted, Happy, Talkative, Euphoric, Dry Mouth, Anxious;Depression, Stress, Nausea, Lack of Appetite;Sweet, Earthy;Lake Forest, CA;1100;0;11
47;Blue Diamond;Hybrid;BioQueen Seeds;Euphoric, Relaxed, Happy, Uplifted, Sleepy, Paranoid, Dry Mouth, Anxious;Stress, Depression, Pain;Sweet, Earthy;Lake Forest, CA;1800;0;11
48;Fruity Chronic Juice;Hybrid;Delicious Seeds;Relaxed, Euphoric, Happy, Talkative, Creative, Dry Mouth, Anxious;Lack of Appetite, Pain, Stress, Depression;Citrus, Sweet;Lake Forest, CA;1600;0;15
49;Tangie;Hybrid;DNA Genetics;Happy, Uplifted, Energetic, Euphoric, Relaxed, Dry Mouth, Anxious, Paranoid;Stress, Depression, Pain, Lack of Appetite;Citrus, Orange, Sweet;El Cajon, CA;1400;0;10
50;Sour Tangie;Hybrid;Reserva Privada;Happy, Uplifted, Euphoric, Relaxed, Energetic, Dry Mouth, Anxious;Stress, Depression, Pain, Lack of Appetite;Citrus, Orange;El Cajon, CA;1400;0;15
51;Monster Cookies;Hybrid;303 Seeds;Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Paranoid;Stress, Pain, Insomnia, Depression;Earthy, Grape, Sweet;Richmond, CA;2100;0;10
52;Candyland;Sativa;Green Relief;Happy, Uplifted, Euphoric, Energetic, Relaxed, Dry Mouth, Anxious;Stress, Depression, Pain;Sweet, Earthy;San Juan Capistrano, CA;1600;0;10
53;Training Day;Hybrid;DNA Genetics;Relaxed, Euphoric, Sleepy, Happy, Hungry, Dry Mouth, Anxious;Insomnia, Pain, Stress, Depression, Muscle Spasms;Earthy, Pine;Richmond, CA;1700;0;10
54;Deep Sleep;Indica;PAPA GANJA;Relaxed, Sleepy, Euphoric, Happy, Tingly, Dry Mouth, Anxious;Pain, Insomnia, Depression, Lack of Appetite, Nausea;Earthy, Sweet, Pine;Lake Forest, CA;1300;0;15
55;Candy Jack;Hybrid;Unknown Breeder;Happy, Uplifted, Energetic, Euphoric, Creative, Dry Mouth, Anxious, Paranoid;Stress, Depression, Lack of Appetite;Sweet, Citrus, Pine;Lake Forest, CA;1300;0;12
56;Granddaddy Purple;Indica;PAPA GANJA;Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Paranoid;Stress, Insomnia, Pain, Depression, Lack of Appetite;Berry, Grape, Sweet;Lake Forest, CA;1900;0;15
57;Kosher Kush;Hybrid;Reserva Privada;Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Paranoid, Anxious;Pain, Stress, Depression, Insomnia, Lack of Appetite;Earthy;Valencia, CA, CA;800;0;11
58;Blue Buddha;Indica;PAPA GANJA;Happy, Relaxed, Tingly, Euphoric;Depression, Insomnia, Lack of Appetite;;Lake Forest, CA;1000;0;17
59;Fruit Punch;Hybrid;Heavyweight Seeds;Happy, Uplifted, Euphoric, Energetic, Relaxed, Dry Mouth, Anxious, Paranoid;Depression, Stress, Pain, Nausea;Sweet, Berry;Richmond, CA;1700;0;14
60;Watermelon;Indica;Green Relief;Relaxed, Happy, Euphoric, Sleepy, Hungry, Dry Mouth, Anxious;Stress, Insomnia, Pain, Depression, Lack of Appetite;Sweet, Berry, Grape;San Juan Capistrano, CA;1600;0;12
61;Zombie OG;Hybrid;Unknown Breeder;Relaxed, Euphoric, Happy, Sleepy, Dry Mouth, Paranoid;Insomnia, Stress, Pain, Depression, Inflammation;Earthy, Sweet;Lancaster, CA;1400;0;12
62;Ace of Spades;Hybrid;TGA Seeds;Relaxed, Happy, Uplifted, Euphoric, Sleepy, Dry Mouth, Paranoid, Anxious;Stress, Lack of Appetite, Pain, Depression, Insomnia;Earthy, Berry;Richmond, CA;800;0;16
63;Paris OG;Hybrid;Unknown Breeder;Relaxed, Happy, Sleepy, Euphoric, Dry Mouth, Paranoid;Stress, Insomnia, Pain, Depression, Lack of Appetite;Lemon, Earthy, Pine;Hollywood, CA;1900;0;16
64;Pennywise;Hybrid;TGA Seeds;Relaxed, Happy, Sleepy, Uplifted, Euphoric, Dry Mouth, Anxious, Paranoid;Stress, Pain, Depression, Insomnia, Inflammation;Earthy;El Cajon, CA;1500;0;13
65;Super Jack;Hybrid;Unknown Breeder;Energetic, Happy, Uplifted, Focused, Creative, Dry Mouth, Anxious, Paranoid;Depression, Stress, Lack of Appetite, Pain;Sweet, Earthy;Hollywood, CA;1900;0;15
66;Blue Dot;Sativa;Holistic Healing Collective;Uplifted, Energetic, Relaxed, Happy, Focused, Dry Mouth, Paranoid, Anxious;Stress, Pain, Depression, Nausea;Earthy, Berry;Richmond, CA;1100;0;16
67;Sonoma Coma;Hybrid;Unknown Breeder;Euphoric, Happy, Uplifted, Relaxed, Energetic, Dry Mouth, Paranoid;Depression, Stress, Pain, Lack of Appetite, Nausea;Citrus;Richmond, CA;1900;0;14
68;Master OG;Hybrid;Cabin Fever Seed Breeders;Relaxed, Sleepy, Happy, Focused, Hungry, Dry Mouth, Paranoid;Pain, Muscle Spasms, Insomnia, Stress;Earthy, Citrus, Pine;Valley Village, CA;2200;0;15
69;Legendary Lemon;Sativa;Mr. Lemon;Horny, Euphoric, Relaxed, Creative, Sleepy, Dry Mouth;Depression, Inflammation, Insomnia, Nausea, Pain;Blueberry;Laguna Beach, CA;1800;0;14
70;Bay Dream;Hybrid;Grand Daddy Purp;Happy, Euphoric, Hungry, Uplifted, Focused, Dry Mouth, Paranoid, Anxious;Depression, Stress, Lack of Appetite, Pain;Citrus;Richmond, CA;1800;0;17
71;Blueberry Dream;Hybrid;Unknown Breeder;Relaxed, Euphoric, Happy, Focused, Creative, Dry Mouth;Stress, Depression, Pain, Insomnia;Blueberry, Berry, Earthy;Canoga Park, CA;1500;0;16
72;Bay 11;Hybrid;Grand Daddy Purp;Happy, Uplifted, Energetic, Relaxed, Creative, Anxious, Dry Mouth;Depression, Insomnia, Stress, Pain;Sweet, Skunk;Richmond, CA;1800;0;14
73;Blue Magic;Sativa;All Green Collective;Euphoric, Energetic, Uplifted, Relaxed, Focused, Dry Mouth, Paranoid;Depression, Stress, Muscle Spasms;Blueberry, Sweet;Rosamund, CA;1900;0;13
